,Domain,Phylum,Class,Order,Family,Genus
Seq25902,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola
Seq25903,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Seq25904,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Seq25905,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas
Seq25906,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,LWSR-14,
Seq25907,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Seq25908,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Candidatus Entotheonella
Seq25909,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,
Seq25910,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
Seq25911,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,
Seq25912,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
Seq25913,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,uncultured
Seq25914,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncultured
Seq25915,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Seq25916,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII Incertae Sedis,Exiguobacterium
Seq25917,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Nevskiaceae,Nevskia
Seq25918,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,uncultured
Seq25919,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter
Seq25920,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7
Seq25921,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Seq25922,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq25923,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Seq25924,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium
Seq25925,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
Seq25926,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Alterococcus
Seq25927,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq25928,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus
Seq25929,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga
Seq25930,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azoarcus
Seq25931,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
Seq25932,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,,
Seq25933,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibaca
Seq25934,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
Seq25935,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Microbulbifer
Seq25936,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,
Seq25937,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Family Incertae Sedis,Candidatus Odyssella
Seq25938,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidiferrobacter
Seq25939,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,KD3-93,
Seq25940,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Seq25941,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter
Seq25942,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Seq25943,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
Seq25944,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,
Seq25945,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Lapillicoccus
Seq25946,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq25947,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
Seq25948,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus
Seq25949,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Seq25950,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured
Seq25951,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Seq25952,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Seq25953,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Seq25954,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq25955,Bacteria,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Nitriliruptor
Seq25956,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis
Seq25957,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella
Seq25958,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq25959,Bacteria,Chloroflexi,Dehalococcoidia,vadinBA26,,
Seq25960,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,,
Seq25961,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
Seq25962,Bacteria,Chloroflexi,Dehalococcoidia,vadinBA26,,
Seq25963,Bacteria,Chloroflexi,Dehalococcoidia,vadinBA26,,
Seq25964,Bacteria,Chloroflexi,Dehalococcoidia,Sh765B-AG-111,,
Seq25965,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,SBYZ-984,
Seq25966,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobium
Seq25967,Archaea,Thaumarchaeota,Miscellaneous Crenarchaeotic Group,,,
Seq25968,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella
Seq25969,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
Seq25970,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,,
Seq25971,Bacteria,Chloroflexi,Dehalococcoidia,vadinBA26,,
Seq25972,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azoarcus
Seq25973,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum
Seq25974,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azoarcus
Seq25975,Bacteria,Firmicutes,Clostridia,Halanaerobiales,64K2,
Seq25976,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Seq25977,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola
Seq25978,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Friedmanniella
Seq25979,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,AKAU3644,
Seq25980,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Seq25981,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,
Seq25982,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,
Seq25983,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Denitratisoma
Seq25984,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicella
Seq25985,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus
Seq25986,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq25987,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq25988,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,uncultured
Seq25989,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,
Seq25990,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
Seq25991,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vogesella
Seq25992,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured
Seq25993,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella
Seq25994,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,CCU22,
Seq25995,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,CCU22,
Seq25996,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium
Seq25997,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella
Seq25998,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq25999,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Seq26000,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Seq26001,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,uncultured
Seq26002,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter
Seq26003,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
Seq26004,Bacteria,Proteobacteria,Gammaproteobacteria,NKB5,,
Seq26005,Bacteria,Chloroflexi,Dehalococcoidia,Napoli-4B-65,,
Seq26006,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4 lineage
Seq26007,Bacteria,Chloroflexi,Dehalococcoidia,vadinBA26,,
Seq26008,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
Seq26009,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,,
Seq26010,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,,
Seq26011,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
Seq26012,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,
Seq26013,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq26014,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,
Seq26015,Bacteria,Candidate division OD1,,,,
Seq26016,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured
Seq26017,Bacteria,Chloroflexi,Dehalococcoidia,Napoli-4B-65,,
Seq26018,Bacteria,Chloroflexi,Dehalococcoidia,Napoli-4B-65,,
Seq26019,Bacteria,Proteobacteria,TA18,,,
Seq26020,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,
Seq26021,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,,
Seq26022,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Lyngbya
Seq26023,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Seq26024,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,TM146,
Seq26025,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Reinekea
Seq26026,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges
Seq26027,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium
Seq26028,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Seq26029,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MSB-1E8,
Seq26030,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,uncultured
Seq26031,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella
Seq26032,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga
Seq26033,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,uncultured
Seq26034,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq26035,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
Seq26036,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Seq26037,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia
Seq26038,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,PeH15,
Seq26039,Bacteria,Cyanobacteria,Chloroplast,,,
Seq26040,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Seq26041,Bacteria,Candidate division OD1,,,,
Seq26042,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Seq26043,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Seq26044,Bacteria,Firmicutes,Bacilli,Bacillales,uncultured,
Seq26045,Bacteria,Proteobacteria,AEGEAN-245,,,
Seq26046,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,
Seq26047,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,
Seq26048,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Seq26049,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,
Seq26050,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,,
Seq26051,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus
Seq26052,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255 marine benthic group,
Seq26053,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella
Seq26054,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Seq26055,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Seq26056,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium
Seq26057,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq26058,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Maribacter
Seq26059,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
Seq26060,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,
Seq26061,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum
Seq26062,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Seq26063,Bacteria,Bacteroidetes,WCHB1-32,,,
Seq26064,Bacteria,Proteobacteria,Gammaproteobacteria,NKB5,,
Seq26065,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Chlorochromatium
Seq26066,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
Seq26067,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
Seq26068,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus
Seq26069,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncultured
Seq26070,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncultured,
Seq26071,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
Seq26072,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa
Seq26073,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured
Seq26074,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus
Seq26075,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
Seq26076,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII Incertae Sedis,Exiguobacterium
Seq26077,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter
Seq26078,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII Incertae Sedis,Exiguobacterium
Seq26079,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,,
Seq26080,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XVIII Incertae Sedis,Symbiobacterium
Seq26081,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured
Seq26082,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,AKIW852,
Seq26083,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,uncultured
Seq26084,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium
Seq26085,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
Seq26086,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Lutibacter
Seq26087,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Seq26088,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas
Seq26089,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
Seq26090,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Seq26091,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
Seq26092,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
Seq26093,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,uncultured
Seq26094,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII Incertae Sedis,uncultured
Seq26095,Bacteria,Bacteroidetes,WCHB1-32,,,
Seq26096,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus
Seq26097,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII Incertae Sedis,Exiguobacterium
Seq26098,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobium
Seq26099,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured
Seq26100,Bacteria,Firmicutes,Bacilli,Bacillales,Family XII Incertae Sedis,Exiguobacterium
Seq26101,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Seq26102,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter
Seq26103,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
Seq26104,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa
Seq26105,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured
Seq26106,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rs-E47 termite group,
Seq26107,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,vadinBC27 wastewater-sludge group
Seq26108,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa
Seq26109,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio
Seq26110,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Seq26111,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
Seq26112,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Seq26113,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI Incertae Sedis,Sedimentibacter
Seq26114,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
Seq26115,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured
Seq26116,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,uncultured
Seq26117,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Seq26118,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
Seq26119,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Seq26120,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,uncultured
Seq26121,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,uncultured
Seq26122,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII Incertae Sedis,Anaerovorax
Seq26123,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,uncultured
Seq26124,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa
Seq26125,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI Incertae Sedis,Sedimentibacter
Seq26126,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
Seq26127,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
Seq26128,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,vadinBC27 wastewater-sludge group
Seq26129,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI Incertae Sedis,Sedimentibacter
Seq26130,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,uncultured
Seq26131,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,PL-11B10,
Seq26132,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured
Seq26133,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII Incertae Sedis,uncultured
Seq26134,Bacteria,Bacteroidetes,SB-5,,,
Seq26135,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum
Seq26136,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,uncultured
Seq26137,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa
Seq26138,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,SRB2,
Seq26139,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Seq26140,Bacteria,Bacteroidetes,Cytophagia,Order III Incertae Sedis,ML602J-37,
Seq26141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,uncultured
Seq26142,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinimicrobium
Seq26143,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq26144,Bacteria,Planctomycetes,Pla3 lineage,,,
Seq26145,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq26146,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus
Seq26147,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus
Seq26148,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus
Seq26149,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanicola
Seq26150,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassococcus
Seq26151,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq26152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Wenxinia
Seq26153,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,uncultured
Seq26154,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,
Seq26155,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
Seq26156,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Seq26157,Bacteria,BD1-5,,,,
Seq26158,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
Seq26159,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sunxiuqinia
Seq26160,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Seq26161,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,,
Seq26162,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Seq26163,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Seq26164,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella
Seq26165,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis
Seq26166,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinimicrobium
Seq26167,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudovibrio
Seq26168,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter
Seq26169,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Seq26170,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Seq26171,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
Seq26172,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
